Angles,Velocity,Y-Velocity,X-Velocity
30,34,17,29.4448637286709
30,35,17.5,30.3108891324554
35,32,18.3544459632335,26.2128654172477
35,33,18.9280223995845,27.0320174615367
35,34,19.5015988359356,27.8511695058257
35,35,20.0751752722866,28.6703215501147
40,31,19.9264159002827,23.7473777366883
40,32,20.5692035099693,24.5134221798073
40,33,21.2119911196558,25.2794666229263
40,34,21.8547787293423,26.0455110660453
40,35,22.4975663390289,26.8115555091642
45,31,21.920310216783,21.920310216783
45,32,22.6274169979695,22.6274169979695
45,33,23.3345237791561,23.3345237791561
45,34,24.0416305603426,24.0416305603426
45,35,24.7487373415292,24.7487373415292
50,31,23.7473777366883,19.9264159002827
50,32,24.5134221798073,20.5692035099693
50,33,25.2794666229263,21.2119911196558
50,34,26.0455110660453,21.8547787293423
50,35,26.8115555091642,22.4975663390289
55,31,25.3937133729587,17.7808695268824
55,32,26.2128654172477,18.3544459632335
55,33,27.0320174615367,18.9280223995845
55,34,27.8511695058257,19.5015988359356
55,35,28.6703215501147,20.0751752722866
60,33,28.5788383248865,16.5
60,34,29.4448637286709,17
60,35,30.3108891324554,17.5
